Station,Depth,TaylorSWIF,TaylorSWIF err,TaylorSWIFT,TaylorSWIFT err,DWARF,DWARF err,QSDWARF,QSDWARF err
5,28,-0.05771380631265266,0.030732948723086035,-0.055631288315062144,0.020249893707319683,-0.0578692292903632,0.03014731699909848,-0.05749941969936756,0.029894930376086832
5,3910,-0.047776793861413425,0.02311185070432888,-0.04450215079227171,0.015531757774670762,-0.04783319536285724,0.02281510438199627,-0.0474052588864976,0.022672236841931082
8,29,0.024359356088074824,0.031443463415897314,0.012571735875605228,0.020609518958569543,0.025956725716171247,0.034652932098655345,0.025677049629138082,0.03432466288889946
8,99,-0.034152596940959956,0.028436804592191826,-0.046567821479366,0.01881958540693823,-0.03257094584143172,0.030731505813980514,-0.03319028362493215,0.030377401249149522
8,296,-0.0637852069968129,0.03410860346632651,-0.06399535746586071,0.02300088306346961,-0.06413225502798514,0.035651565796895955,-0.06369855233968647,0.03501209877232989
8,494,-0.05413930092654784,0.023895766045669384,-0.05930940341976232,0.014553623776567494,-0.053771107973413335,0.025190153844126036,-0.053995660892317,0.024475375532281237
8,690,-0.05482353947523322,0.039325994760498154,-0.04585538833293579,0.02892874730923813,-0.05448260017811657,0.03820127335053795,-0.054105242413115096,0.037926366815165646
8,988,-0.05570314517703012,0.04212967626273734,-0.06355535786781208,0.026820547844250368,-0.055520847209867275,0.04588665515194601,-0.055342134896178896,0.04442635890193625
8,1479,-0.0417748278084068,0.029739401524414927,-0.05224683481119741,0.021341988366524317,-0.04098016029940821,0.03104530875490614,-0.04144617734471201,0.030837392360364625
8,1970,-0.04435080466629848,0.030601789924034766,-0.045788052768700904,0.02084182486961,-0.04460017386398485,0.031195357107437146,-0.04426319505390697,0.03077125641036292
8,2459,-0.042731469599268435,0.034326819389627186,-0.04593517560664406,0.02329762267105992,-0.04277678849842281,0.03599845803421987,-0.04255769267366871,0.0354914685400884
5,98,-0.029281562764551627,0.031687526564182916,-0.03513842583638849,0.020701698734308858,-0.029165674207240033,0.03229660002846905,-0.02915214353413398,0.03274311111012682
8,2840,-0.03822597082958312,0.04119847050078688,-0.04181748804374252,0.031351688210441965,-0.03827712342397993,0.04495441031197145,-0.03819755410933556,0.04375832412349221
8,2889,-0.043914472783965874,0.030243811695711734,-0.05107878383891662,0.019405382806257532,-0.04336166685882292,0.031892629439637964,-0.04343476488699849,0.031141274433328193
16,29,0.03579761123837599,0.039179882793342634,0.04616077248529815,0.02634357106195308,0.03601991422212736,0.038937867049167615,0.0359685681300661,0.03963984769742825
