Sample_idx,Station,Depth,Classical T_r,Classical T_r err,MC T_r,MC T_r std,Classical A,Classical A err,MC A,MC A std,Classical R,Classical R err,MC R,MC R std,S
0,5.0,28.47016337,-0.6242082045431352,0.1863329678789972,-0.6224996047821384,0.32340715617035704,0.0002198556844166,3.412972675686971e-05,0.00021974230754249273,5.841772832961085e-05,-0.0044405140673174,0.0059016170627501,-0.00443170336419742,0.01019108486579717,34.02689981
10,5.0,3910.299467,-0.1914264453483246,0.1170081845513014,-0.19106797677979848,0.24889263683633955,0.0004751100960281,2.1797164455289503e-05,0.0004746006604595456,4.651883978813024e-05,-0.0066262831528605,0.0035708725478476,-0.006602624674850672,0.007593142464432032,34.94135377
11,8.0,29.75149432,-1.4232407957734263,0.2698010851116552,-1.4226102374366005,0.3036735580648184,8.30392647655391e-05,5.287479711864497e-05,8.262400141664061e-05,6.011433278135609e-05,0.0273434223375065,0.0087305207673972,0.027337333319162976,0.009800898796784953,33.47240735
12,8.0,99.10104584,0.4755983770691792,0.3628316903442125,0.4689575293044094,0.3052698040260102,0.0002976307971528,6.78986591182133e-05,0.00029629232415708803,5.7464399220118264e-05,0.0297957085720562,0.0113056141996364,0.02954794274049069,0.009554791775181414,34.39143464
13,8.0,296.7392011,2.3364349264724966,0.8980261244909845,2.3348245259114186,0.39345417568866714,0.0001663708298472,0.000163874776334,0.00016653233514471433,7.308238080122365e-05,0.00314423879536,0.0264795513766268,0.0030806446873072398,0.011523880196949792,34.86418486
14,8.0,494.506771,1.9893911006601137,0.0493426625176752,1.9888719112649555,0.24888504558702035,0.0001318962822841,6.861543493059958e-06,0.00013181027069643697,3.454477499793772e-05,0.0147480905956761,0.0013869259605101,0.014697570227802985,0.007041722086892831,34.88677707
15,8.0,690.786058,0.7089043398251101,0.2772712606977501,0.7142471028852497,0.4739866548354569,0.0002389833325581,5.690958064528856e-05,0.0002406102619426016,9.722583024786168e-05,-0.0176795816738912,0.0079951565470533,-0.017567885521664328,0.013692756303167826,34.89263696
16,8.0,988.1447356,1.3626378036969975,0.3424690155389505,1.3611481460190011,0.453130357281268,0.000351038549065,5.233644117865653e-05,0.00035060244937702717,6.824155639960786e-05,0.021569101868749,0.0102302609637078,0.021537845572690537,0.013484920048631388,34.90146011
17,8.0,1479.814036,0.8064404475678159,0.3165423688600866,0.811017949957147,0.34695645478615567,0.000129533589535,6.343122317394887e-05,0.00013030594232021873,6.941892302965154e-05,0.0246841713298846,0.0101804386536574,0.024799431029690497,0.011196700770438125,34.91411563
18,8.0,1970.417214,0.1249097042063298,0.1794633657921838,0.1274505798956337,0.3255444491438644,0.0001085854959771,3.244205535706798e-05,0.00010896790540707626,5.992898857532686e-05,0.0033226387377939,0.0062199334479144,0.00346367770670902,0.011316961434773702,34.9199713
