Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
36.0,20.0,691.2720548,4.229704306147415e-08,1.8876134784524713e-07,0.0003791120121092478,9.180441481189161e-08,1.3709233614451102e-08,3.9380984297974054e-10,1.3891797845710125e-09,6.196672846493577e-06,1.8165494274171067e-09,2.8665792070936854e-10
37.0,20.0,1478.651821,4.1163456426861224e-08,1.8296188415097997e-07,0.00038329140571309616,9.391813966190945e-08,1.4332131719886929e-08,3.5190339671714694e-10,1.2367892232190696e-09,5.2034037646474175e-06,1.5308133652693097e-09,2.4848399190664965e-10
38.0,20.0,1969.280111,4.147944622449124e-08,1.908438074969528e-07,0.0003948235811898966,9.645856125313674e-08,1.4371453614749182e-08,7.370866948414125e-10,2.7898329872019792e-09,9.985636594055693e-06,2.954517706261228e-09,4.735868792583257e-10
39.0,20.0,2458.615708,4.0566572217772625e-08,1.8304092910018667e-07,0.0003864851169064127,9.483254627465509e-08,1.4391212375558458e-08,5.69339920870966e-10,2.079060695526841e-09,9.01739114168123e-06,2.664279075123184e-09,4.3227649269167395e-10
3.0,5.0,494.5481263,4.0449907530332717e-08,1.7767878797945104e-07,0.0003651394055197554,8.868300135363517e-08,1.3408867059884275e-08,5.544045936101719e-10,1.8667923267322695e-09,8.27109661535033e-06,2.4129650367036667e-09,3.825410579632777e-10
40.0,20.0,3434.110064,4.1573467423689974e-08,1.8207779711092183e-07,0.0003831393584145179,9.40994648908804e-08,1.4525321127787838e-08,6.934781311447127e-10,2.4440929890788267e-09,9.208212428771909e-06,2.708193216448788e-09,4.552124875735861e-10
41.0,20.0,3917.840037,4.166635671332224e-08,1.8501705366322796e-07,0.0003892577562770034,9.564860602733707e-08,1.4676502208276977e-08,1.2053572098715786e-09,4.253537804248747e-09,2.143686209948339e-05,6.329181896049332e-09,1.0353611565684419e-09
42.0,20.0,4236.283477,4.162256021731321e-08,1.8403804094049756e-07,0.0003870264432166045,9.506664659711232e-08,1.4609407581927672e-08,4.833705069344958e-10,1.7703106295134546e-09,7.3289364793221835e-06,2.1647109568751885e-09,3.649570853483068e-10
43.0,28.0,29.70348762,4.3724591994907636e-08,2.0119774348272478e-07,0.0004373032160851909,1.0877867261052644e-07,1.677272907961739e-08,5.703018850391269e-10,2.0332019723194937e-09,9.732543765439806e-06,2.8996397429099604e-09,4.6169116136446785e-10
44.0,28.0,98.86296446,4.267843474339677e-08,1.9074358529090572e-07,0.0004000893330083049,9.83499248588634e-08,1.506095702251218e-08,5.531089642006757e-10,1.8814900724139186e-09,8.648861324707429e-06,2.548324305395149e-09,4.050293039314225e-10
