Sample_idx,Station,Depth,Classical T_r,Classical T_r err,MC T_r,MC T_r std,Classical zeta,Classical zeta err,MC zeta,MC zeta std,Classical omega,Classical omega err,MC omega,MC omega std,S
0,5.0,28.47016337,-0.6987845096820686,0.2242871271055602,-0.6937154008273673,0.41262456569699024,0.0002161662240753,3.2591764652368544e-05,0.000216259966955531,6.0534264030736904e-05,-0.0110606233248492,0.0116858827960496,-0.011001588695988962,0.021317870403166683,34.02689981
10,5.0,3910.299467,-0.2182813050389357,0.1868278322741144,-0.21816098002766135,0.3186859562006159,0.0004789644404675,2.7074518694597668e-05,0.0004787763733521895,4.641901282398685e-05,-0.0116087074145581,0.0091290247547719,-0.011776287632837695,0.015559243210604742,34.94135377
11,8.0,29.75149432,-1.0569079714897018,0.2814315029116901,-1.0597165190320283,0.43077110925663636,9.191798406452542e-05,3.988746713909708e-05,9.071079741891885e-05,6.033226357279623e-05,0.059935496024078,0.0137220061545812,0.05960928369336942,0.02100787999707202,33.47240735
12,8.0,99.10104584,0.7956593131614695,0.5290608619881092,0.7964776501739083,0.4208936035690198,0.0002962908301131,7.15122464375674e-05,0.00029580615946954837,5.6552485503207695e-05,0.0605974779979342,0.0248427189316455,0.06042482353443403,0.01968842613669588,34.39143464
13,8.0,296.7392011,2.569187796998013,1.153370724756847,2.5811428475454368,0.5271696831320747,0.0001862054249426,0.0001578132270971,0.0001869111947453969,7.23828457990009e-05,0.0159373091234487,0.052892876329535,0.01619487219215793,0.024339845551245614,34.86418486
14,8.0,494.506771,2.2477147740145424,0.0185781743754544,2.243264366180498,0.3723991677124406,0.0001421523779884,1.887849779581024e-06,0.00014144960815680875,3.8105470604887255e-05,0.03419850949813,0.0008144212412699,0.03389428690912798,0.0163003866594713,34.88677707
15,8.0,690.786058,0.6525105403977197,0.3935083503519817,0.6496580116827995,0.556796652781672,0.0002600431828826,6.321458274055669e-05,0.0002582662727126023,8.918831648581844e-05,-0.0305827512506534,0.0182746048626142,-0.031079531719354177,0.025882542669294767,34.89263696
16,8.0,988.1447356,1.6886339965522734,0.4967777230224414,1.7139165126470886,0.6643228485633249,0.0003615143038206,5.4499259936223866e-05,0.00036227269788811504,7.238231604325343e-05,0.0475544886736292,0.0223398655326926,0.048278102112731314,0.029943654494099345,34.90146011
17,8.0,1479.814036,1.0762135418634216,0.2267908757251844,1.0786808615343124,0.42947687134572454,0.00012498181174,3.53118134133781e-05,0.0001238199730437131,6.706017511493908e-05,0.0502097298447624,0.010756736551644,0.050207793734170704,0.02036296277478834,34.91411563
18,8.0,1970.417214,0.2073345351291687,0.204011956341009,0.21435191977287926,0.41543971019127746,0.0001120814205942,2.9298772772300536e-05,0.00011149058304481809,5.840963183472704e-05,0.009539468288415,0.0108042130717982,0.009625067014866848,0.02210693830987769,34.9199713
