Sample_idx,Station,Depth,He,Ne,Ar,Kr,Xe,He err,Ne err,Ar err,Kr err,Xe err,He sat,Ne sat,Ar sat,Kr sat,Xe sat,He sat err,Ne sat err,Ar sat err,Kr sat err,Xe sat err,He3/He4,He3/He4 err,T,S,p
41,20,3917.840037,4.1762780238E-08,1.8506911219E-07,0.0003887600859,9.7659620678E-08,1.4516629955E-08,1.3957583542E-09,1.5576755942E-09,0.0000019832959478,1.9840466636E-09,5.2860576627E-10,2.3206630806,1.1369057673,-1.6497673624,-0.14006954524,-3.9469352647,3.4196698469,0.85124139802,0.50174291274,2.0287480176,3.4976577928,1.0189144773,0.018779276892,-0.927211899,34.94178132,1
42,20,4236.283477,4.1629512193E-08,0.0000001840007184,0.0003871026957,9.5324919438E-08,1.4471726508E-08,2.3910619146E-10,8.8494051205E-10,0.0000017467428464,2.8810391365E-09,5.3408959356E-10,1.9960831402,0.55668401036,-2.0611217498,-2.5178442149,-4.2326130081,0.58583187019,0.48362139132,0.44193449664,2.9462380623,3.5343650784,1.079578176,0.042534098711,-0.92437769,34.94248305,1
43,28,29.70348762,4.2911151291E-08,2.0167427302E-07,0.00043558508624,1.0889178589E-07,1.6823496414E-08,9.6088403243E-10,1.1614273036E-09,0.0000026468726302,9.5698405174E-10,1.3669213772E-10,1.886263177,6.219658745,4.4388239439,5.0746524187,4.309566245,2.2814788339,0.61171120145,0.63463206928,0.92343757415,0.84752284803,0.99333952577,0.013688555994,-1.569602703,30.29071711,1
44,28,98.86296446,4.178589641E-08,1.9128067089E-07,0.00039858809412,9.8631997482E-08,1.5113179309E-08,9.3725140678E-10,1.1038987501E-09,0.0000020224240518,8.9332148864E-10,1.2353136504E-10,1.3208259951,3.0568962096,-1.6501489271,-1.9735546879,-3.2803185564,2.2726109731,0.59475104506,0.49902419875,0.88783693211,0.79056259644,1.0300672972,0.014437729732,-1.501323183,33.7219772,1
45,28,296.7734392,4.1108789184E-08,1.7975468891E-07,0.00037326078981,8.9681918322E-08,1.3581868436E-08,6.3590205083E-10,2.5288912585E-09,0.0000032658652554,8.0273150512E-10,1.0952797797E-10,1.5137387747,-0.0056273135348,-1.3697838598,-3.2645158894,-4.0107114075,1.5702918027,1.4067777398,0.8629703543,0.86586708014,0.77408441529,0.99630426815,0.012987105615,0.762653194,34.84249549,1
46,28,494.0627661,4.196436291E-08,1.9035754216E-07,0.00037737563377,9.2163278405E-08,1.3865474791E-08,5.884327448E-10,1.0369848194E-09,0.0000032920957932,7.7083491439E-10,9.4895036124E-11,3.5219103616,5.6383718545,-0.88423716411,-1.3281221296,-2.9064882793,1.4516050676,0.57547175023,0.86465197187,0.82527151646,0.66450608008,1.0460306039,0.013350146275,0.519986473,34.87033605,1
47,28,691.5625298,4.0067466652E-08,1.8043443156E-07,0.00037715718991,9.1747186951E-08,1.4019979739E-08,4.2051949844E-10,1.1985183548E-09,9.6885879183E-07,7.4056483818E-10,1.1340582717E-10,-1.3347986796,-0.26401230147,-1.8911933005,-2.9272727991,-3.2418356087,1.0355194486,0.66248670418,0.25202642948,0.78355152785,0.78266444545,1.0449001535,0.013281101974,0.14773431,34.87583944,1
48,28,986.8709085,4.0968059821E-08,1.9415578119E-07,0.00038546592762,9.3101438335E-08,1.400454124E-08,6.0876993869E-10,1.2853831815E-09,0.0000013861402963,1.7372719982E-09,2.2842996557E-10,0.72121115614,6.9366812282,-0.60215270666,-2.5445295165,-4.6166003618,1.4966792621,0.70796043616,0.35743590193,1.8185181988,1.5558115273,1.1268562937,0.041976898939,-0.190082328,34.88958297,1
49,28,1478.721042,4.0892220236E-08,1.8212013427E-07,0.00038300833418,9.2673081603E-08,1.4126676721E-08,4.2964205539E-10,1.2092050912E-09,0.0000013815042229,1.5802532607E-09,2.3190588012E-10,0.42886600814,0.056129999015,-1.8531371231,-3.739050496,-4.6993427766,1.0551753894,0.66433281686,0.35401398202,1.6414332696,1.5644714766,0.93565138719,0.047321262312,-0.438012979,34.92306874,1
50,28,1969.18078,4.1619209652E-08,1.8320436261E-07,0.0003840129865,9.4640430684E-08,1.4167561885E-08,3.0586639126E-10,8.1323839493E-10,9.9097104733E-07,8.0359287762E-10,1.1445807706E-10,2.195757456,0.59618761182,-1.742612154,-1.8787179655,-4.6458910759,0.75105336686,0.44654330817,0.25355972315,0.83314882251,0.77035470436,0.98571981792,0.026881359132,-0.501568052,34.94683716,1
