CFC12 sat,CFC12 sat err,SF6 sat,SF6 sat err,Station,Depth
-0.05771380631265266,0.030732948723086035,-0.02899689640670411,0.028968222168151547,5.0,28.47016337
-0.047776793861413425,0.02311185070432888,0.006175844674605857,0.021992371825323057,5.0,3910.299467
0.024359356088074824,0.031443463415897314,0.03992001084413488,0.029157004906921125,8.0,29.75149432
-0.034152596940959956,0.028436804592191826,0.01391800728227377,0.027080470097343125,8.0,99.10104584
-0.0637852069968129,0.03410860346632651,-0.029097570906624903,0.032501091604139803,8.0,296.7392011
-0.05413930092654784,0.023895766045669384,-0.022977499545701052,0.022271907570230898,8.0,494.506771
-0.05482353947523322,0.039325994760498154,-0.0235877597263362,0.03711631559496892,8.0,690.786058
-0.05570314517703012,0.04212967626273734,0.0011067564174540578,0.03998087418460283,8.0,988.1447356
-0.0417748278084068,0.029739401524414927,-0.01245129653559407,0.028348747236791788,8.0,1479.814036
-0.04435080466629848,0.030601789924034766,-0.023343654906476052,0.02889427200350418,8.0,1970.417214
-0.042731469599268435,0.034326819389627186,-0.0056375299562223535,0.032676605566970676,8.0,2459.812922
-0.029281562764551627,0.031687526564182916,0.014552587113344728,0.03005345845865585,5.0,98.92659273
-0.03822597082958312,0.04119847050078688,-0.004600808884248853,0.039222575775186896,8.0,2840.567937
-0.043914472783965874,0.030243811695711734,-0.007640956851530656,0.028630381885180117,8.0,2889.072459
0.03579761123837599,0.039179882793342634,0.03629801457858739,0.03624369432222037,16.0,29.45964658
-0.054879069390717405,0.10052359844930783,-0.009627097440167987,0.0941808110383047,16.0,98.81147186
-0.06065110186249345,0.028458708826139868,-0.01409314559422492,0.027334564767137096,16.0,296.8147005
-0.04875242441377159,0.04269110097062754,0.021626669629565276,0.04076055383204439,16.0,494.1225872
-0.04970879541463069,0.04237147608080297,-0.0159236425558289,0.03974423311412993,16.0,691.226781
-0.055666928980871666,0.03469520221189224,-0.014245830787964264,0.03343522701265553,16.0,987.0985638
-0.039832935728913554,0.03391268708265537,-0.016858511944065513,0.03176490663939701,16.0,1969.221408
-0.04520318439250148,0.034170236111570634,-0.031127719998495174,0.031908554203842435,16.0,2946.896201
-0.0563790153478424,0.028411109314081553,-0.014891728961132,0.027223309870185897,5.0,296.9473792
-0.031793733888354714,0.04903482073637329,-0.017330274912438548,0.046163539756506035,16.0,3434.23702
-0.04077082527151288,0.03165444288758496,-0.011359278895973102,0.02993504586562166,16.0,3920.302221
-0.05332855187596486,0.035169573059710996,-0.014451654252120139,0.03390096003897849,16.0,4335.690235
0.045897523764751647,0.04933687808402317,0.07844245035890762,0.04609346347009498,20.0,29.912123
-0.05543395434187037,0.05872579249529295,-0.021537766849851314,0.056365295192704265,20.0,242.4192417
-0.03305061499207129,0.035020153319607436,-0.01964366699996789,0.03256773725075051,20.0,493.9807019
-0.048364653097388355,0.03183858146624445,0.03470741247117748,0.03074805355715787,20.0,691.2720548
-0.04869571038608056,0.026338054246198197,-0.02384352264118228,0.02460865084903303,20.0,1478.651821
-0.03116065693403547,0.049659040362773015,0.05893213320300528,0.04903861611852011,20.0,1969.280111
-0.054177809091838336,0.04319147165412046,-0.02453086433309315,0.040350303321492316,20.0,2458.615708
-0.05483067179911927,0.04751925023684063,-0.042325036202371824,0.04421957884779187,5.0,494.5481263
-0.06553072897834045,0.04877771688532919,-0.053276432221970316,0.044951422128195966,20.0,3434.110064
-0.04167429953705726,0.1085359698171216,-0.014900774739327827,0.10005519268436233,20.0,3917.840037
-0.05092993869509055,0.037513200928294486,-0.028041151490734273,0.03436073964964968,20.0,4236.283477
0.07679050161324774,0.049037089417935276,0.12343245436270811,0.04625919623538414,28.0,29.70348762
-0.047207634108952345,0.043115178912224605,0.003327223275985336,0.04122700539784369,28.0,98.86296446
-0.05436424110051763,0.044141336812040875,-0.0243305964184789,0.04309550185673068,28.0,296.7734392
-0.03409527227022413,0.035128697962301565,0.050016505107573606,0.03469712907102288,28.0,494.0627661
-0.04607339505666863,0.03232105724453315,-0.028994600878449295,0.03032002116789076,28.0,691.5625298
-0.06966837442313711,0.0450788357033339,0.06061615854074276,0.044689934705359875,28.0,986.8709085
-0.052236609855160765,0.04371658413729843,-0.024558265906645782,0.040758096014357564,28.0,1478.721042
-0.053667669009787033,0.03522452687036519,-0.03559203028177915,0.03346911069301454,5.0,692.0560526
-0.05048771422606335,0.026255315072717063,-0.019096625693885816,0.024643152454390572,28.0,1969.18078
-0.03716633607119302,0.046400348690308554,-0.02314283134203221,0.043753151316954134,28.0,2458.645822
-0.03889092497645019,0.03424270915920463,-0.018000401339532512,0.03242065179756575,28.0,2946.913091
-0.04346401535761135,0.03612152817782374,-0.0011299294422864037,0.034568460305570176,28.0,3936.544852
0.06320916783501773,0.047418139079461914,0.1406238958736239,0.04559772598571541,46.0,29.77446549
-0.028631993231768793,0.1217657275548582,-0.009057633232677165,0.11133031972093936,46.0,98.7922838
-0.05464155122430692,0.04669279109416938,-0.02649918244134497,0.04468731328225234,46.0,296.5428446
-0.05105972588183927,0.028917162059306497,-0.031141207923393588,0.0273434264458636,46.0,494.3120733
-0.051196027407005906,0.028693775380441114,-0.0019882305741325546,0.02758789644064571,46.0,691.4833316
-0.040865441762119814,0.030028026784200464,0.03199343300770696,0.029118863267253096,46.0,985.5203409
-0.060300027305360215,0.028657589542736252,-0.029948121907090397,0.027138467084094904,5.0,987.4908462
-0.05184359872414945,0.03603043547384676,-0.032770239665315226,0.0336945547602581,46.0,2458.666699
