Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
19.0,8.0,2459.812922,4.159557748308455e-08,1.8583864442537458e-07,0.00038947188264818513,9.556577082185874e-08,1.4583431029731928e-08,5.16316759499396e-10,1.8014914526663617e-09,6.737431425395455e-06,1.9790403863064972e-09,3.212567135226902e-10
1.0,5.0,98.92659273,4.1985172526948425e-08,1.8765492551782845e-07,0.0003915890223806617,9.599900936633392e-08,1.4628107757461253e-08,4.4675161862402523e-10,1.5549849307916195e-09,6.165724033135024e-06,1.811574632819353e-09,2.938447250682662e-10
20.0,8.0,2840.567937,4.121537434092391e-08,1.852260034450742e-07,0.0003904970987797396,9.592694359888935e-08,1.4623824458465815e-08,5.956673345030918e-10,2.048598680917727e-09,8.119291429258218e-06,2.3845171138091077e-09,3.8218473994828424e-10
21.0,8.0,2889.072459,4.1142371306412436e-08,1.8513687015768427e-07,0.00038966614633812103,9.565203514577994e-08,1.4554434894971075e-08,4.2985313812562465e-10,1.5056578244312303e-09,5.956796952119677e-06,1.7514518788636247e-09,2.840133378428518e-10
22.0,16.0,29.45964658,4.280859187138368e-08,1.9060115085883433e-07,0.00041613451351743666,1.0362861103805695e-07,1.628920893678563e-08,5.493085822463732e-10,1.898225812390428e-09,7.5873902089428015e-06,2.249415474508575e-09,3.687815564896554e-10
23.0,16.0,98.81147186,4.002208689004087e-08,1.8592170164697485e-07,0.0003974968746529054,9.778330739527454e-08,1.4717797014845061e-08,1.1740730624641864e-09,4.075591299641558e-09,2.0619345417831775e-05,6.081383846537166e-09,9.785821478982997e-10
24.0,16.0,296.8147005,3.999397230392082e-08,1.8037834699034935e-07,0.00036699792916546867,8.872915991230189e-08,1.3156807459835994e-08,4.048007387749e-10,1.4054883278323987e-09,5.387105677743178e-06,1.56624357609801e-09,2.4820303015626934e-10
25.0,16.0,494.1225872,4.2333584893291217e-08,1.8678259365672512e-07,0.00037339931534936306,9.02688178491108e-08,1.352677979808111e-08,5.650343389135775e-10,1.955736053760939e-09,8.011759534433496e-06,2.3377098885503163e-09,3.7693986189998397e-10
26.0,16.0,691.226781,4.032557212327296e-08,1.8147103498631054e-07,0.00037640935418964123,9.171819612279282e-08,1.3783067875722312e-08,5.493365855087174e-10,1.9354555861779308e-09,8.081725152063748e-06,2.3681838735544725e-09,3.8240652777254305e-10
27.0,16.0,987.0985638,4.25450215177385e-08,1.8558798220706977e-07,0.00037934110492306795,9.246731243963109e-08,1.4123688934059792e-08,5.721863727169245e-10,1.969404500171838e-09,6.672323764930765e-06,1.9495720174618395e-09,3.161725865696792e-10
