Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
19.0,8.0,2459.812922,4.161484942652887e-08,1.8576892192348466e-07,0.0003892465691597663,9.550012675858597e-08,1.461332942686517e-08,5.531171539727653e-10,1.706624301831205e-09,5.171434478247517e-06,1.4770424251659174e-09,2.4993556167228813e-10
1.0,5.0,98.92659273,4.1975501929753816e-08,1.8773861288674138e-07,0.00039132377431703693,9.588535919836648e-08,1.4649453690962235e-08,4.603648593870906e-10,1.4052396235430573e-09,4.532624907918111e-06,1.2970463229961085e-09,2.2004405381387704e-10
20.0,8.0,2840.567937,4.137004743893736e-08,1.8530378521630536e-07,0.00039021836442800704,9.584599915789796e-08,1.4676871958322894e-08,7.047683778179558e-10,2.012614587505705e-09,7.14511397163512e-06,2.034575294338965e-09,3.380277464798112e-10
21.0,8.0,2889.072459,4.1128921095313185e-08,1.8525192454740665e-07,0.00038938746106318935,9.552437505183126e-08,1.458756607171765e-08,4.363846357127882e-10,1.3409166752695653e-09,4.3055963743056515e-06,1.2325275873029337e-09,2.088522364534417e-10
22.0,16.0,29.45964658,4.2932000851555816e-08,1.9009209864682082e-07,0.0004160846562148462,1.0375008559698018e-07,1.628968080466099e-08,6.023213917296519e-10,1.8073210451225014e-09,5.8833768748994355e-06,1.689846403989873e-09,2.88306847677553e-10
23.0,16.0,98.81147186,3.9847094260575654e-08,1.8601794859778243e-07,0.0003972905004276917,9.762884717311083e-08,1.4847508344293133e-08,1.2193195658048477e-09,3.3187419178831997e-09,1.456881104902613e-05,4.177825067244353e-09,6.99080484613078e-10
24.0,16.0,296.8147005,3.993582855659461e-08,1.8072611136044217e-07,0.0003665544905402152,8.850120598967819e-08,1.3210761052937011e-08,4.167693370977887e-10,1.2783237464175657e-09,3.971081954407184e-06,1.1254749619252714e-09,1.8687483047939902e-10
25.0,16.0,494.1225872,4.229200553152292e-08,1.8690659412904666e-07,0.00037331946375744477,9.020643506128476e-08,1.3560459886578567e-08,5.67380654214153e-10,1.6749704237731834e-09,5.634436949094665e-06,1.601901800662609e-09,2.6811113874535083e-10
26.0,16.0,691.226781,4.0313038016319986e-08,1.8154759300335717e-07,0.0003762731889559485,9.164522335390969e-08,1.3849142807709761e-08,5.658836270794082e-10,1.6940861448225373e-09,5.88025781492059e-06,1.6787271094097034e-09,2.817529603465167e-10
27.0,16.0,987.0985638,4.2550355891784905e-08,1.8539658318489207e-07,0.000379395433222933,9.252581077634186e-08,1.4110681133726287e-08,6.58088935905934e-10,2.0169008161144335e-09,5.682366603255037e-06,1.6125500052380823e-09,2.7087921053271594e-10
28.0,16.0,1969.221408,4.080083906612308e-08,1.8336759128493225e-07,0.00038717375350680344,9.504286562317776e-08,1.452528376807368e-08,4.936684216718932e-10,1.4825533135644388e-09,4.964765606193463e-06,1.4190659705896034e-09,2.388398082597549e-10
29.0,16.0,2946.896201,4.122951566851197e-08,1.8277693725102455e-07,0.00038730298948944704,9.528926554871359e-08,1.4644639539788834e-08,5.048919845803178e-10,1.496547739058186e-09,5.091290192524439e-06,1.4556090943916572e-09,2.4511939473123384e-10
2.0,5.0,296.9473792,4.036466884332647e-08,1.8000424640712728e-07,0.00036314880284554996,8.76068011933428e-08,1.3095810276901867e-08,4.227142045044603e-10,1.2715039870293808e-09,3.977519487416795e-06,1.1243907177874633e-09,1.858294066205753e-10
30.0,16.0,3434.23702,4.152027278200709e-08,1.8376894404541975e-07,0.0003900998634014014,9.610935306669935e-08,1.4807451336283405e-08,8.515944433344344e-10,2.314097144065303e-09,8.932863568286743e-06,2.5410815039901833e-09,4.1870299030726037e-10
31.0,16.0,3920.302221,4.105887046734922e-08,1.8432373376719672e-07,0.00038970660642953476,9.577591759583342e-08,1.4667273688928162e-08,5.24353984981335e-10,1.6439238508127073e-09,4.93491121586791e-06,1.4127672277279697e-09,2.403061067392633e-10
32.0,16.0,4335.690235,4.228678952153621e-08,1.8607126761649235e-07,0.00038754998482762716,9.504394411715585e-08,1.457792507170545e-08,5.826143238300122e-10,1.712727178559069e-09,5.37019634970705e-06,1.524281436364866e-09,2.533905064588851e-10
33.0,20.0,29.912123,4.0881474094088346e-08,1.9241098618814133e-07,0.00042291251859619274,1.050858201337375e-07,1.622945091589642e-08,7.022937532746399e-10,1.8876620729980102e-09,8.142070465034506e-06,2.3351948868486265e-09,3.897180742601447e-10
34.0,20.0,242.4192417,4.072377744899728e-08,1.7963285300716788e-07,0.0003645015719066795,8.819533838352341e-08,1.3259490116167156e-08,1.0174161262526126e-09,3.1361292938768867e-09,8.870547509729531e-06,2.505575647523748e-09,4.157728308132176e-10
35.0,20.0,493.9807019,4.090946053008813e-08,1.7940202102116286e-07,0.0003710619990477424,9.04386047989014e-08,1.374115764884063e-08,4.732160662165617e-10,1.3886816903906024e-09,4.730160015728935e-06,1.3455476738280396e-09,2.2452744129807706e-10
36.0,20.0,691.2720548,4.185755250271367e-08,1.8907920476444127e-07,0.00037908240776439835,9.163009681519675e-08,1.3733668371839464e-08,4.689845278383177e-10,1.2776191027046733e-09,4.802313380920961e-06,1.3583006571233926e-09,2.2296282878329799e-10
37.0,20.0,1478.651821,4.121076164428469e-08,1.8288790909221338e-07,0.0003832136570141147,9.391324685802112e-08,1.4353703895307526e-08,3.696512379306967e-10,1.0958158917445179e-09,3.8273173536338105e-06,1.0947845656706404e-09,1.8468567428800245e-10
38.0,20.0,1969.280111,4.1453937667736313e-08,1.9473675574570607e-07,0.0003949875278235165,9.581191223195952e-08,1.4349935676761291e-08,1.0250652893381471e-09,3.4037060525766974e-09,8.703251910667732e-06,2.472453001350692e-09,4.1691235415509896e-10
39.0,20.0,2458.615708,4.0545665811143004e-08,1.83130378466242e-07,0.0003863673486675867,9.475826790687811e-08,1.4449321878356536e-08,5.680036985479603e-10,1.7183925222669428e-09,6.0058534168217515e-06,1.7226172685506652e-09,2.919427678477329e-10
3.0,5.0,494.5481263,3.998301875767285e-08,1.7767898268323456e-07,0.00036542454560813993,8.866965533052565e-08,1.3353670036358905e-08,7.445181490802343e-10,1.956984340013343e-09,8.053581889603353e-06,2.2759783122954766e-09,3.7044348608257555e-10
40.0,20.0,3434.110064,4.158018025099247e-08,1.8197534371123066e-07,0.0003832219112730032,9.41623897880745e-08,1.448027921035307e-08,6.481914960979661e-10,2.054270368873002e-09,6.488532398091165e-06,1.8702457324448014e-09,3.242447025736504e-10
41.0,20.0,3917.840037,4.179236386835515e-08,1.8497607033390493e-07,0.0003892380740150526,9.567792639084586e-08,1.4699537289199675e-08,1.2235680533648336e-09,3.3060829977329332e-09,1.4606350311044721e-05,4.190284779057306e-09,7.060843947289061e-10
42.0,20.0,4236.283477,4.162608992565897e-08,1.8402208712338157e-07,0.0003870421834898178,9.507967169168708e-08,1.4595023601176134e-08,4.388736198827288e-10,1.4048697787922615e-09,4.9017255101079726e-06,1.4208529202742907e-09,2.484641784098773e-10
43.0,28.0,29.70348762,4.316925774111903e-08,2.014596073837099e-07,0.00043712348551477073,1.0850381521497857e-07,1.6802168254685897e-08,7.330937773112807e-10,1.954045000877857e-09,8.126753849687987e-06,2.3232183061103845e-09,3.8675392336731716e-10
44.0,28.0,98.86296446,4.236940645875271e-08,1.9085656991428651e-07,0.0004002102744638281,9.828980672409848e-08,1.505616098381865e-08,6.953475493356877e-10,1.8407699439646e-09,7.438446185291348e-06,2.114630520024854e-09,3.4844254153033623e-10
45.0,28.0,296.7734392,4.097689434625471e-08,1.809641251297603e-07,0.0003705000460929101,8.999445809842506e-08,1.3599729842378917e-08,8.178688347974004e-10,2.4018203673245857e-09,6.996574847025191e-06,1.9612906635822115e-09,3.1766363662302925e-10
46.0,28.0,494.0627661,4.21764678079951e-08,1.900261807283001e-07,0.0003808081764170674,9.21068820001455e-08,1.3826517682270276e-08,5.416139852765629e-10,1.4369628874421026e-09,5.1947898158513145e-06,1.4572038694576129e-09,2.34587550860122e-10
47.0,28.0,691.5625298,4.013136643534429e-08,1.802417847178164e-07,0.00037716693945050194,9.212220741873109e-08,1.397477635884756e-08,4.795077729774913e-10,1.4280950019185295e-09,4.762496356740344e-06,1.3552615697718912e-09,2.257636702621917e-10
48.0,28.0,986.8709085,4.116923416982741e-08,1.9371149890094415e-07,0.000386004818164812,9.295923712530328e-08,1.379102185422985e-08,6.429508700330359e-10,1.83494635569871e-09,6.480092342696692e-06,1.835205134003362e-09,3.0219402518851426e-10
49.0,28.0,1478.721042,4.08029404000058e-08,1.824972188664176e-07,0.00038242877562835433,9.362790725317652e-08,1.4267806839316558e-08,5.660992099066463e-10,1.700009088834036e-09,5.956210357703694e-06,1.7062925921364206e-09,2.8872129027447147e-10
4.0,5.0,692.0560526,4.0415431044700175e-08,1.7968458126742532e-07,0.0003731645734072137,9.096905476934515e-08,1.378944144902422e-08,5.676113907407767e-10,1.692110747847113e-09,5.296009371639727e-06,1.4999669001893619e-09,2.48023938953864e-10
50.0,28.0,1969.18078,4.1451276486818376e-08,1.837373975752355e-07,0.00038347087993386905,9.39095952777066e-08,1.4346115695205633e-08,3.6548609011659023e-10,1.0795334195779375e-09,3.784815245802736e-06,1.0823806915259734e-09,1.8256087292497337e-10
51.0,28.0,2458.645822,3.85426365974008e-08,1.792162592732502e-07,0.00038496322644790946,9.450541120308404e-08,1.4336325173516469e-08,7.842076493592289e-10,2.0569526012090738e-09,8.548582161774633e-06,2.4221133806299326e-09,3.9212053850325454e-10
52.0,28.0,2946.913091,4.199912759197675e-08,1.8369050512084503e-07,0.0003849384717954689,9.452966009122725e-08,1.4533901518181279e-08,5.697609766789306e-10,1.685708721728297e-09,5.337035063987967e-06,1.5187201939111491e-09,2.5400884433386867e-10
