Sample_idx,Station,Depth,Classical T_r,Classical T_r err,MC T_r,MC T_r std,Classical zeta,Classical zeta err,MC zeta,MC zeta std,Classical omega,Classical omega err,MC omega,MC omega std,S
0,5.0,28.47016337,-1.1196093935453475,0.1113079933632544,-1.1217791646320203,0.205271913570915,0.0002182048040814,3.3048773089584394e-05,0.00021786967467366764,6.147000690716294e-05,-0.0107464457542407,0.0117717280023955,-0.01114350773253001,0.021706970714849224,34.02689981
10,5.0,3910.299467,-0.5649399685358363,0.0930043761767683,-0.5626955971734025,0.15910001715153643,0.0004813687897374,2.7574123741314264e-05,0.0004820969017719536,4.714517211231428e-05,-0.0112644655005613,0.0092194421629212,-0.010974118207673545,0.015742727190502,34.94135377
11,8.0,29.75149432,-1.3709653020094572,0.1380239932565932,-1.372598730939162,0.20927742417124623,9.192315858938888e-05,4.017153065089744e-05,9.093140958769998e-05,6.118194839039967e-05,0.0600477739423125,0.0138681910826667,0.059851677929556604,0.020907271440356763,33.47240735
12,8.0,99.10104584,-0.058555286816491,0.2549192442852147,-0.058772091813078874,0.2032615971401064,0.0003006073462517,7.276914282255059e-05,0.0002998871855083004,5.8237667936540257e-05,0.061757436547815,0.0252395195902889,0.06169313613160664,0.020282872996617633,34.39143464
13,8.0,296.7392011,1.8147596661617569,0.5680046151096729,1.8162971736598836,0.25888714086489123,0.0001884200009854,0.0001617422454156,0.00018829823715371137,7.286010576639098e-05,0.0161499137629771,0.0539704932131328,0.01618660688762844,0.024604168381475316,34.86418486
14,8.0,494.506771,1.429097560629955,0.0080683779905297,1.4296681091241386,0.17933381311986263,0.0001447231332103,1.7229220504438237e-06,0.0001450018514449145,3.835591943576753e-05,0.0347609500495826,0.0007379903305561,0.034695836015525956,0.016386174399553154,34.88677707
15,8.0,690.786058,0.4156781130061725,0.1972685059183286,0.41526736528817837,0.2797649763117305,0.0002614168292753,6.405597789249477e-05,0.00026011546854750624,8.993913867027837e-05,-0.030367388210387,0.0183931392888415,-0.030571618217410963,0.026093602881927153,34.89263696
16,8.0,988.1447356,0.7287074624334727,0.2418788487367343,0.7297238473846193,0.31722128361035323,0.0003667044247239,5.643793174057865e-05,0.00036599708122042303,7.468326215489754e-05,0.0486598428021829,0.0229699177944346,0.04869935628671432,0.030144085245901307,34.90146011
17,8.0,1479.814036,0.2468005803869991,0.1116819050607975,0.24453058837324648,0.20999953881683253,0.0001277651427355,3.6310795191146785e-05,0.00012822695280828293,6.753635635999846e-05,0.0509903471547458,0.011115095338,0.05066649037159506,0.020998916437712498,34.91411563
18,8.0,1970.417214,-0.2740586149652059,0.1005741364205492,-0.2775379988823637,0.2052051744987145,0.0001135208852547,2.955648199038713e-05,0.00011284593009513473,5.996932661982904e-05,0.0098017192085883,0.0108942553605874,0.009366216177073856,0.022256495226443247,34.9199713
19,8.0,2459.812922,-0.2893762635151528,0.2014824821700488,-0.2861203863385521,0.242292530307465,0.0002546121950464,6.386921832118362e-05,0.0002549732736151184,7.623533711934792e-05,0.0220124238947321,0.0204740875775789,0.022328418280246114,0.02453895496764357,34.92471731
1,5.0,98.92659273,-0.1344126333484001,0.0574551332324241,-0.13283429059273932,0.21937758200035606,0.0003282339706636,1.6415249391405406e-05,0.0003288935218268256,6.243608453842339e-05,0.0273090652395313,0.0058396862419552,0.02739048779496016,0.022221243683380243,34.51654568
20,8.0,2840.567937,-0.2780630058788446,0.389573925204036,-0.2757852442959369,0.28651735738197903,0.0002089821825943,0.000112493951022,0.00020998869810672202,8.134473926969277e-05,0.0325237469786814,0.04229508816134,0.03259173059296556,0.031143663146053602,34.93139118
21,8.0,2889.072459,-0.1933273646050902,0.1642892189704262,-0.19234707300770962,0.21170766436308658,0.0002157651189213,4.633426053173872e-05,0.0002151527005377246,5.9574204516258884e-05,0.0368777856785065,0.0165857257494206,0.037056268202744755,0.021458803334031572,34.93226485
22,16.0,29.45964658,-2.2170690551327445,0.2650056285093555,-2.2191843073061084,0.22973206690910733,0.0001386770883957,9.022024639050826e-05,0.00013841571984216122,7.622412582709067e-05,-0.0299994052078497,0.0304971521771636,-0.0302680408392313,0.026549188988408873,33.17349573
23,16.0,98.81147186,-0.1288328563886213,0.2293022393984091,-0.09592198155101267,0.7708690443105706,0.0001820193967223,3.2189220505259213e-05,0.00018347069618004515,0.00010920924668063023,0.1057081900520776,0.0231530520883976,0.10846524162654111,0.07757526666339702,34.24053821
24,16.0,296.8147005,2.440472223414922,0.1465300195142073,2.4413920485968696,0.21965377640136247,0.0002012749308797,3.7535308933902086e-05,0.00020082651904127077,5.683757029405224e-05,0.075058230992232,0.0140494799039488,0.07498906533718049,0.02103332315439525,34.87360805
25,16.0,494.1225872,1.6637095229303038,0.0842588194397997,1.6639541165897587,0.32074077077378405,0.0005057849047611,1.936572632948651e-05,0.0005045365889680154,7.382275723517592e-05,0.0335379863230334,0.0078277951697322,0.0335780176829139,0.029755788466545512,34.89564116
