Station,Depth,He,Ne,Ar,Kr,Xe,He err,Ne err,Ar err,Kr err,Xe err,He sat,Ne sat,Ar sat,Kr sat,Xe sat,He sat err,Ne sat err,Ar sat err,Kr sat err,Xe sat err,He3/He4,He3/He4 err,T,S,p,Sample_idx,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err,chi2,chi2_reduced
5,28.47016337,4.2232586099e-08,1.8743231838e-07,0.00039470515468,9.8654890487e-08,1.5054452424e-08,3.0424277055e-10,1.126089092e-09,1.9752362889e-06,2.3351670398e-09,1.3106591017e-10,2.5678203975,1.1273840548,-2.4913806175,-1.8557172367,-3.581732155,0.73889668452,0.6075710159,0.48796566551,2.3230809251,0.83942927158,0.99496114038,0.016080257082,-1.545321855,34.02689981,1.0,0.0,4.2278357261282574e-08,1.8714950275728038e-07,0.0003954850185905,9.737608084628603e-08,1.5025776887712042e-08,4.4521839137669024e-10,1.5423079563168555e-09,6.103613737569792e-06,1.7968559823425623e-09,2.9446572014479076e-10,0.5893593523211449,0.29467967616057245
5,98.92659273,4.1995151184e-08,1.8761108016e-07,0.00039154538065,9.6863399707e-08,1.4617938712e-08,3.0078788454e-10,1.1593598541e-09,1.9460055924e-06,2.3521983261e-09,1.3531609158e-10,2.7796123765,2.5792900119,-0.52169365976,-0.36776828225,-2.5133443705,0.73615313455,0.63389811836,0.494413547,2.4194357144,0.90241951895,1.0213499199,0.015318054792,-0.642212884,34.51654568,1.0,1.0,4.1985968097032395e-08,1.876491133495439e-07,0.0003916040675167,9.60057658892131e-08,1.4626920803716877e-08,4.4040299305923726e-10,1.5558196409085383e-09,6.214346782405306e-06,1.8298504181995641e-09,2.9560242714194686e-10,0.1402639520688183,0.07013197603440915
5,296.9473792,4.0427818096e-08,1.795463775e-07,0.00036438644006,8.6954937028e-08,1.3040290034e-08,2.9292497281e-10,1.0786998151e-09,1.6320117789e-06,1.118747077e-09,1.1120622524e-10,0.24575927222,0.7681947106,-1.6235479239,-3.7015434617,-4.8092193625,0.72634358449,0.60540699573,0.44060785722,1.2389591719,0.81177698995,1.0417493457,0.017108028877,1.592818667,34.87876659,1.0,2.0,4.0386650940116644e-08,1.7983385039402838e-07,0.0003635664884748,8.778615305339067e-08,1.3056164338975462e-08,4.0162309084749267e-10,1.416017920168862e-09,5.648131973386368e-06,1.6471108286539355e-09,2.5858795619303295e-10,0.9156047164876148,0.4578023582438074
5,494.5481263,3.7089368676e-08,1.7881236545e-07,0.00036403882789,8.949330787e-08,1.3526505576e-08,1.2545369438e-09,1.0932303627e-09,1.1609868138e-06,1.0103330211e-09,1.2252640725e-10,-8.2000925095,-0.071409659457,-2.7689879561,-2.198832558,-2.8639194941,3.1051047643,0.61094750794,0.31008759018,1.104124446,0.87988245684,1.013214152,0.032085421617,1.159780397,34.91262678,1.0,3.0,4.044990753033272e-08,1.7767878797945104e-07,0.0003651394055197,8.868300135363517e-08,1.3408867059884277e-08,5.544045936101718e-10,1.8667923267322695e-09,8.27109661535033e-06,2.4129650367036667e-09,3.8254105796327766e-10,10.71433759995011,5.357168799975055
5,692.0560526,4.0391475847e-08,1.7991848205e-07,0.00037262711124,9.1475269981e-08,1.3793299716e-08,4.1406513254e-10,1.5879427825e-09,1.8595737143e-06,1.1097807325e-09,1.1360407463e-10,-0.40069215922,-0.27009307879,-2.4289942819,-2.4350544801,-3.8653024167,1.0210223751,0.88020632506,0.48692237371,1.1836608597,0.79178250196,1.0426358158,0.016326601688,0.392731134,34.90318953,1.0,4.0,4.043884776384714e-08,1.7955917419068741e-07,0.0003732314059423,9.102250408652485e-08,1.3783585826195897e-08,5.152904733646146e-10,1.7767761042738267e-09,6.7497463170385105e-06,1.9732816325187526e-09,3.1299371974276327e-10,0.34364712311951207,0.17182356155975603
5,987.4908462,4.1236717878e-08,1.8150561778e-07,0.00038069984281,9.2585308609e-08,1.3953695254e-08,2.966209179e-10,1.0775883962e-09,1.7067813033e-06,1.1179278532e-09,1.2049445981e-10,1.3654767441,-0.076210944577,-1.9496603381,-3.2304221097,-5.140731499,0.72913467177,0.59324177898,0.43958643449,1.1684511084,0.81913902433,1.026596006,0.016497650333,-0.240731524,34.90546993,1.0,5.0,4.106369935316049e-08,1.8243969863883257e-07,0.0003791269187061,9.2612308480676e-08,1.4061228314701024e-08,4.1714232015725144e-10,1.456480103260334e-09,5.839107127206521e-06,1.7130326272983166e-09,2.752137882944055e-10,2.7379379519580085,1.3689689759790042
5,1478.968168,4.1224187472e-08,1.8128301332e-07,0.00038321503608,9.4557536949e-08,1.437418395e-08,4.181389003e-10,8.4231032335e-10,9.8639491798e-07,8.4114836228e-10,1.3478846451e-10,1.1262181881,-0.6495397669,-2.3735999359,-2.4806383194,-3.8776553129,1.0257280557,0.4616202961,0.25129020476,0.86749564355,0.90135087251,1.059603011,0.014518915213,-0.657062701,34.91538929,1.0,6.0,4.105648325794031e-08,1.815255750950968e-07,0.0003831361890498,9.408294393551109e-08,1.444939136634605e-08,4.177075143114823e-10,1.4500983680465271e-09,6.410140315196191e-06,1.886217330823253e-09,3.079943477558728e-10,0.8798478741725233,0.43992393708626165
5,1969.315623,4.1253397813e-08,1.8343898434e-07,0.00038532704655,9.5625474954e-08,1.4485516216e-08,2.9610542695e-10,1.2109706851e-09,9.8693747046e-07,8.3674851903e-10,1.2471974925e-10,1.1167070209,0.35402444712,-2.2538624743,-1.8930192861,-3.7550667983,0.725787627,0.66248612408,0.25035700603,0.8584623591,0.82866525135,1.0353358412,0.01471617011,-0.819533934,34.92129671,1.0,7.0,4.1256450524210334e-08,1.8325677874383913e-07,0.0003856957313493,9.468066875482589e-08,1.4499588079136328e-08,4.3536964991017166e-10,1.5355618563935066e-09,5.985915445749759e-06,1.7616162605529395e-09,2.8846932398038247e-10,1.4499828668448733,0.7249914334224367
5,2458.758942,4.300620042e-08,1.8826574982e-07,0.00038936757403,9.5564549533e-08,1.4430888557e-08,2.2062267761e-10,8.8013447703e-10,7.7281740527e-07,8.3915969909e-10,1.0057269702e-10,5.3799508561,2.9201516527,-1.4037676497,-2.168424889,-4.375333214,0.54060127834,0.48114738839,0.19569396513,0.85906662599,0.6664337128,1.0622234518,0.014914812545,-0.888111311,34.92824889,1.0,8.0,4.2877762699871414e-08,1.89072136336599e-07,0.0003890242965616,9.514701447329417e-08,1.4538421750981096e-08,3.286840181348742e-10,1.1520396106301075e-09,4.489853085077402e-06,1.3196321398825204e-09,2.1621906100519614e-10,2.7664287425870127,1.3832143712935063
5,2947.597802,4.3039706127e-08,1.8859410851e-07,0.00038887552989,9.5813552286e-08,1.4583072005e-08,4.3433682454e-10,1.6314054039e-09,1.7486479939e-06,1.6284505693e-09,1.8207308428e-10,5.4512457856,3.0722759542,-1.5952946283,-1.9959319058,-3.4678110006,1.0641652409,0.89161145764,0.44249426208,1.6656806545,1.2052270864,1.0486542985,0.025379248669,-0.915583264,34.93495735,1.0,9.0,4.3013137132068355e-08,1.88701490137421e-07,0.0003889424418162,9.520981373276534e-08,1.4607284511506184e-08,6.119102227555207e-10,2.1131695175128552e-09,8.271494875512123e-06,2.428861869197765e-09,3.983403855044667e-10,0.16467416763882892,0.08233708381941446
5,3910.299467,4.3399433641e-08,1.8956087719e-07,0.00039026148057,9.583015223e-08,1.459825527e-08,2.2387727218e-10,8.8941647892e-10,1.0034123579e-06,8.0904769433e-10,1.0281919791e-10,6.3361887448,3.6037377528,-1.2420458916,-1.9769136825,-3.3656863981,0.54853839955,0.48610701216,0.25391937593,0.82756157776,0.68061987076,1.0199649134,0.014589005667,-0.916494397,34.94135377,1.0,10.0,4.3343731951457966e-08,1.8989174289482269e-07,0.0003900965498679,9.5461204615703e-08,1.4649104370171021e-08,3.3736931169616964e-10,1.1658006581365266e-09,4.482103041584915e-06,1.3159531637014722e-09,2.1630733134798417e-10,0.6798465339155604,0.3399232669577802
8,29.75149432,4.0882397598e-08,1.8860749483e-07,0.0004144304251,1.0424101283e-07,1.5849944569e-08,2.8001643712e-10,1.1396134379e-09,1.305459496e-06,1.1964917588e-09,1.4143500867e-10,-1.1122569798,1.2519873406,1.5780922412,2.803958199,0.50813048697,0.67731334517,0.61178971434,0.31997188689,1.1799970609,0.89687179946,0.98498567145,0.014347331977,-1.675421696,33.47240735,1.0,11.0,4.08781823432865e-08,1.8854994470685989e-07,0.0004147691416444,1.0317231172436557e-07,1.5862890094924993e-08,4.2642325312104547e-10,1.5892775489699947e-09,6.651784920174016e-06,1.982921810276878e-09,3.2443512178417744e-10,0.8762731169293718,0.4381365584646859
8,99.10104584,4.1232245398e-08,1.8822753514e-07,0.00039340406201,9.8230300474e-08,1.4700386137e-08,2.8209967841e-10,1.119186976e-09,1.23499930693e-06,1.0509182467e-09,1.2474997865e-10,-1.0459699286,2.167725901,-1.6815727963,1.6629971472,-1.7692138651,3.3044190727,0.86228593508,0.70983797389,3.066442483,3.6507599128,1.0606642918,0.041600821255,-0.895010633,34.39143464,1.0,12.0,4.1323851383436227e-08,1.8752099344669657e-07,0.0003943942552868,9.67946717334039e-08,1.4653326464387928e-08,4.0028956094452815e-10,1.4625605837596034e-09,5.9194063218325995e-06,1.7496715710327035e-09,2.81956983961055e-10,3.1552862637352077,1.5776431318676039
8,296.7392011,4.1144941814e-08,1.7773519106e-07,0.00036826123874,8.7197099589e-08,1.3172471899e-08,3.0902521859e-10,1.5114643001e-09,1.3424655277e-06,9.1842088811e-10,1.3726494726e-10,1.7666529382,-0.79331856995,-1.8970619623,-5.0050376477,-5.7620717219,0.76433361631,0.84365598296,0.35762605083,1.000553437,0.98201494406,1.067086538,0.027189811527,1.072497138,34.86418486,1.0,13.0,4.0914778883872304e-08,1.8031990747622233e-07,0.0003661953340519,8.868164574300672e-08,1.3324367825171116e-08,5.078546376891569e-10,1.7769282492685414e-09,6.650914187369394e-06,1.939849585005798e-09,3.1068945446219575e-10,9.684590054886383,4.842295027443192
8,494.506771,4.0490283915e-08,1.8063556459e-07,0.00037212795151,9.047502759e-08,1.3614672023e-08,2.1264577182e-10,5.9928731955e-10,9.5249787992e-07,8.0703720008e-10,1.548624835e-10,-0.053841749453,0.36531395775,-1.9844679049,-2.8001290561,-4.258681223,0.5248945156,0.3329779499,0.25088033872,0.86702279937,1.0890264836,1.0311598051,0.019679047833,0.624922709,34.88677707,1.0,14.0,4.0494408236631124e-08,1.8062322559080417e-07,0.0003721424389823,9.049553043370805e-08,1.3605790433334577e-08,2.9966944293831733e-10,1.0869275666604426e-09,4.685878023712562e-06,1.376439196696711e-09,2.2243696258015106e-10,0.004966053596717709,0.0024830267983588544
8,690.786058,4.232438377e-08,1.8295561449e-07,0.00037583890158,9.2449545926e-08,1.3958479963e-08,2.5954561416e-10,2.5135064402e-09,9.6674304572e-07,9.7413942569e-10,1.4628958944e-10,4.245829045,1.1667795519,-2.1590762351,-2.094906252,-3.5603641244,0.63926619393,1.3898636161,0.25166908545,1.0316244481,1.0107199907,0.9829977361,0.038642779223,0.172165458,34.89263696,1.0,15.0,4.2294757715876706e-08,1.836914619000804e-07,0.0003759398602365,9.161125660950753e-08,1.4012655958334136e-08,6.068021802397603e-10,2.089376454159227e-09,7.306664069460168e-06,2.134626402496869e-09,3.5222795606854635e-10,0.9873243689990374,0.4936621844995187
8,988.1447356,4.1555967978e-08,1.8594942258e-07,0.00038243615759,9.1413406773e-08,1.4028944368e-08,4.3656053628e-10,1.233754896e-09,1.3891397578e-06,1.6225357251e-09,2.2505519074e-10,1.8351618603,2.4011515877,-1.4280787286,-1.2295617635,-4.519407611,0.52453252344,0.67942088971,0.35804714624,1.2644708448,1.5317191635,1.0282866721,0.024325931416,-0.210829668,34.90146011,1.0,16.0,4.1547799748683834e-08,1.860545658896517e-07,0.0003820820663017,9.308033129294766e-08,1.4011038694296751e-08,5.635555913407382e-10,2.039130025693495e-09,8.756081186332048e-06,2.577242604960138e-09,4.1513754004306326e-10,1.1343805264557885,0.5671902632278942
8,1479.814036,4.0532383962e-08,1.8226074831e-07,0.00038629196449,9.5101791965e-08,1.4308359102e-08,4.1158850133e-10,1.604559083e-09,7.6738277244e-07,8.3881421905e-10,1.0345814036e-10,-0.52474606129,-0.012714534097,-1.3508311236,-1.6282323149,-3.9678468534,1.0101273768,0.88025265214,0.19597009431,0.86765596928,0.69437088545,1.0585680987,0.014988548357,-0.565184932,34.91411563,1.0,17.0,4.0403480746206124e-08,1.8292816182668985e-07,0.000386261108673,9.47416114284927e-08,1.4341080824647544e-08,4.4426653391362806e-10,1.605281936600651e-09,5.939565544017922e-06,1.750282323068012e-09,2.8122338319297517e-10,0.5571252072346778,0.2785626036173389
