,Sample_idx,Station,Event,Date/Time,Latitude,Longitude,Bottle,Press [dbar],Depth,Temp [°C],QF water temp,Tpot [°C],QF Tpot,Tcon [°C],QF Tcon,Sal,QF sal,ASAL [g/kg],QF ASAL,Density [kg/m**3],QF rho,DO [ml/l],O2 [µmol/kg],QF O2,F chl [µg/l],QF F chl,fCDOM,QF fCDOM,He [cm**3/g],Ne [cm**3/g],Ar [cm**3/g],Kr [cm**3/g],Xe [cm**3/g],He std dev [±],Ne std dev [±],Ar std dev [±],Kr std dev [±],Xe std dev [±],ΔHe [%],ΔNe [%],ΔAr [%],ΔKr [%],ΔXe [%],ΔHe std dev [±],ΔNe std dev [±],ΔAr std dev [±],ΔKr std dev [±],ΔXe std dev [±],3He/4He [atm],3He/4He std dev [±],sigma0 [kg/m**3]
10,0,5,SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,21,28.8,28.47016337,-1.54475,1,-1.545321855,1,-1.541343055,1,34.02689981,1,34.18891857,1,1027.526221,1,8.304057557,365.2128046,1,0.089,1,0.010344,1,0.00000004223,0.0000001874,0.0003947,0.00000009865,0.00000001505,3E-10,0.0000000011,0.000002,0.0000000023,1.3E-10,2.6,1.1,-2.5,-1.9,-3.6,0.7,0.6,0.5,2.3,0.8,0.995,0.016,27.3864993272016
11,21,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,1,2940.7,2889.072459,-0.74095,1,-0.903078773,1,-0.901662116,1,34.93226485,1,35.10117905,1,1041.728904,1,6.755004881,297.1889698,1,,9,,9,0.00000004114,0.0000001852,0.0003889,0.00000009682,0.00000001454,2.8E-10,0.0000000011,0.0000017,0.0000000012,1.3E-10,0.8,1.2,-1.5,-0.9,-3.7,0.7,0.6,0.4,1.2,0.9,1.05,0.018,28.0991975846298
12,20,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,3,2891,2840.567937,-0.7428,1,-0.900903904,1,-0.8994873,1,34.93139118,1,35.10029283,1,1041.50385,1,6.750200287,296.9760236,1,,9,0.008916,1,0.00000004258,0.0000001838,0.0003911,0.00000009622,0.00000001453,9.4E-10,0.0000000016,0.0000012,0.0000000012,1.3E-10,4.3,0.4,-1,-1.5,-3.8,2.3,0.8,0.3,1.2,0.8,1.069,0.017,28.0983923310828
13,19,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,5,2501.3,2459.812922,-0.73715,1,-0.865679692,1,-0.864286382,1,34.92471731,1,35.09350219,1,1039.737579,1,6.783403465,297.5472074,1,,9,0.009154,1,0.0000000417,0.0000001846,0.0003905,0.00000009533,0.00000001451,3E-10,0.0000000016,0.0000017,0.0000000011,1.4E-10,2.2,1,-1,-2.3,-3.8,0.7,0.9,0.4,1.2,0.9,1.056,0.018,28.0914350642886
14,18,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,7,2001.3,1970.417214,-0.6591,1,-0.75448101,1,-0.753210102,1,34.9199713,1,35.08857418,1,1037.446932,1,6.785033596,296.262829,1,,9,0.00963,1,0.00000004114,0.0000001829,0.0003865,0.00000009546,0.0000000145,4.3E-10,0.0000000012,0.0000014,8.4E-10,1E-10,0.9,0.1,-1.8,-1.9,-3.4,1.1,0.7,0.4,0.9,0.7,1.039,0.015,28.0826627831873
15,17,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,9,1501.2,1479.814036,-0.4983,1,-0.565184932,1,-0.56412668,1,34.91411563,1,35.08234937,1,1035.124814,1,6.855729769,299.7898784,1,,9,0.009868,1,0.00000004053,0.0000001823,0.0003863,0.0000000951,0.00000001431,4.1E-10,0.0000000016,0.00000077,8.4E-10,1E-10,-0.5,0,-1.4,-1.6,-4,1,0.9,0.2,0.9,0.7,1.059,0.015,28.0690886146974
16,16,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,11,1001.3,988.1447356,-0.16795,1,-0.210829668,1,-0.210153753,1,34.90146011,1,35.0689011,1,1032.762341,1,6.968466142,303.0579099,1,,9,0.009868,1,0.00000004156,0.0000001859,0.0003824,0.00000009141,0.00000001403,4.4E-10,0.0000000012,0.0000014,0.0000000016,2.3E-10,2.2,2.4,-1.4,-4.4,-4.5,1.1,0.7,0.4,1.7,1.5,0.863,0.039,28.0409428599396
17,15,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,13,699.4,690.786058,0.2024,1,0.172165458,1,0.172419131,1,34.89263696,1,35.05970154,1,1031.313137,1,6.961774028,301.8220217,1,,9,0.010106,1,0.00000004232,0.000000183,0.0003758,0.00000009245,0.00000001396,2.6E-10,0.0000000025,0.00000097,9.7E-10,1.5E-10,4.2,1.2,-2.2,-2.1,-3.6,0.6,1.4,0.3,1,1,0.983,0.039,28.0129317190451
18,14,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,15,500.5,494.506771,0.64755,1,0.624922709,1,0.624666597,1,34.88677707,1,35.05365065,1,1030.340443,1,6.927026516,299.3590611,1,,9,0.010106,1,0.00000004049,0.0000001806,0.0003721,0.00000009048,0.00000001361,2.1E-10,6E-10,0.00000095,8.1E-10,1.5E-10,-0.1,0.4,-2,-2.8,-4.3,0.5,0.3,0.3,0.9,1.1,1.031,0.02,27.9811902409933
19,13,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,17,300.2,296.7392011,1.08665,1,1.072497138,1,1.071848916,1,34.86418486,1,35.03076992,1,1029.34852,1,6.820639071,294.5813663,1,,9,0.010344,1,0.00000004114,0.0000001777,0.0003683,0.0000000872,0.00000001317,3.1E-10,0.0000000015,0.0000013,9.2E-10,1.4E-10,1.8,-0.8,-1.9,-5,-5.8,0.8,0.8,0.4,1,1,1.067,0.027,27.9336653493763
