,Sample_idx,Station,Event,Date/Time,Latitude,Longitude,Bottle,Press [dbar],Depth,Temp [°C],QF water temp,Tpot [°C],QF Tpot,Tcon [°C],QF Tcon,Sal,QF sal,ASAL [g/kg],QF ASAL,Density [kg/m**3],QF rho,DO [ml/l],O2 [µmol/kg],QF O2,F chl [µg/l],QF F chl,fCDOM,QF fCDOM,He [cm**3/g],Ne [cm**3/g],Ar [cm**3/g],Kr [cm**3/g],Xe [cm**3/g],He std dev [±],Ne std dev [±],Ar std dev [±],Kr std dev [±],Xe std dev [±],ΔHe [%],ΔNe [%],ΔAr [%],ΔKr [%],ΔXe [%],ΔHe std dev [±],ΔNe std dev [±],ΔAr std dev [±],ΔKr std dev [±],ΔXe std dev [±],3He/4He [atm],3He/4He std dev [±],sigma0 [kg/m**3]
46,50,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,7,2000.1,1969.18078,-0.40195,1,-0.501568052,1,-0.500708924,1,34.94683716,1,35.11574719,1,1037.436967,1,6.607864181,288.1722836,1,,9,0.00895408,1,0.00000004162,0.0000001832,0.000384,0.00000009464,0.00000001417,3.1E-10,8.1E-10,0.00000099,8E-10,1.1E-10,2.2,0.6,-1.7,-1.9,-4.6,0.8,0.4,0.3,0.8,0.8,0.986,0.027,28.0929676245066
47,49,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,9,1500.1,1478.720059,-0.36955,1,-0.438012979,1,-0.437145225,1,34.92306874,1,35.09147885,1,1035.11563,1,6.77885626,295.7365648,1,,9,0.00925634,1,0.00000004089,0.0000001821,0.000383,0.00000009267,0.00000001413,4.3E-10,0.0000000012,0.0000014,0.0000000016,2.3E-10,0.4,0.1,-1.9,-3.7,-4.7,1.1,0.7,0.4,1.6,1.6,0.936,0.047,28.0704041454969
48,48,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,11,1000,986.8699239,-0.1471,1,-0.190082328,1,-0.18938328,1,34.88958297,1,35.05704501,1,1032.746562,1,6.90497686,300.9442402,1,,9,0.00963476,1,0.00000004097,0.0000001942,0.0003855,0.0000000931,0.000000014,6.1E-10,0.0000000013,0.0000014,0.0000000017,2.3E-10,0.7,6.9,-0.6,-2.5,-4.6,1.5,0.7,0.4,1.8,1.6,1.127,0.042,28.0303496415902
49,47,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,13,700.2,691.5625298,0.17785,1,0.14773431,1,0.148093874,1,34.87583944,1,35.04296012,1,1031.306373,1,6.926854923,301.064205,1,,9,0.00973472,1,0.00000004007,0.0000001804,0.0003772,0.00000009175,0.00000001402,4.2E-10,0.0000000012,0.00000097,7.4E-10,1.1E-10,-1.3,-0.3,-1.9,-2.9,-3.2,1,0.7,0.3,0.8,0.8,1.045,0.013,28.0008712146828
50,46,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,15,500,494.0627661,0.54215,1,0.519986473,1,0.519938138,1,34.87033605,1,35.03738334,1,1030.335498,1,6.89914271,299.1735432,1,,9,0.00997986,1,0.00000004196,0.0000001904,0.0003774,0.00000009216,0.00000001387,5.9E-10,0.000000001,0.0000033,7.7E-10,9.5E-11,3.5,5.6,-0.9,-1.3,-2.9,1.5,0.6,0.9,0.8,0.7,1.046,0.013,27.9746270343389
51,45,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,17,300.2,296.7734392,0.776,1,0.762653194,1,0.762476814,1,34.84249549,1,35.00938001,1,1029.354659,1,6.813946958,295.3838055,1,,9,0.01025118,1,0.00000004111,0.0000001798,0.0003733,0.00000008968,0.00000001358,6.4E-10,0.0000000025,0.0000033,8E-10,1.1E-10,1.5,0,-1.4,-3.3,-4,1.6,1.4,0.9,0.9,0.8,0.996,0.013,27.9370304727611
52,44,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,19,100,98.86296446,-1.4993,1,-1.501323183,1,-1.496775068,1,33.7219772,1,33.88526447,1,1027.621525,1,7.090211129,308.4165472,1,,9,0.0228509,1,0.00000004179,0.0000001913,0.0003986,0.00000009863,0.00000001511,9.4E-10,0.0000000011,0.000002,8.9E-10,1.2E-10,1.3,3.1,-1.7,-2,-3.3,2.3,0.6,0.5,0.9,0.8,1.03,0.014,27.139974252535
53,43,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,21,30,29.70348762,-1.56925,1,-1.569602703,1,-1.560638778,1,30.29071711,1,30.43700434,1,1024.502931,1,8.807338808,384.566889,1,,9,0.0172579,1,0.00000004291,0.0000002017,0.0004356,0.0000001089,0.00000001682,9.6E-10,0.0000000012,0.0000026,9.6E-10,1.4E-10,1.9,6.2,4.4,5.1,4.3,2.3,0.6,0.6,0.9,0.8,0.993,0.014,24.3573465624888
55,61,46,SO21_46-02,2021-09-02T08:51:55,85.8485,-38.41966667,3,3000.1,2946.955137,-0.71465,1,-0.882126789,1,-0.880726799,1,34.92914867,1,35.09802331,1,1041.987761,1,6.783231873,296.9443946,1,,9,0.00911592,1,0.00000004257,0.0000001909,0.0003856,0.00000009562,0.00000001459,3.1E-10,7.4E-10,0.0000008,8.8E-10,1.2E-10,4.3,4.4,-2.3,-2.1,-3.3,0.8,0.4,0.2,0.9,0.8,1.026,0.015,28.0957734159374
56,60,46,SO21_46-02,2021-09-02T08:51:55,85.8485,-38.41966667,5,2500.1,2458.666699,-0.65705,1,-0.787107065,1,-0.785806555,1,34.9231682,1,35.09195464,1,1039.722555,1,6.769933442,295.5414007,1,,9,0.009154,1,0.00000004291,0.0000001847,0.0003849,0.00000009575,0.00000001464,3.2E-10,0.0000000026,0.0000008,9.1E-10,1.3E-10,5.2,1.1,-2.3,-1.7,-2.6,0.8,1.4,0.2,0.9,0.9,1.053,0.022,28.0868117916532
59,59,46,SO21_46-02,2021-09-02T08:51:55,85.8485,-38.41966667,11,998.6,985.5203409,-0.03215,1,-0.076054039,1,-0.075496213,1,34.89054633,1,35.05819046,1,1032.733424,1,6.877865221,301.5541361,1,,9,0.0095824,1,0.00000004218,0.0000001894,0.0003848,0.00000009321,0.00000001411,5.9E-10,0.000000001,0.00000091,9.5E-10,9.6E-11,3.8,4.5,-0.5,-2.1,-3.4,1.5,0.6,0.2,1,0.7,1.069,0.014,28.02530565037
60,58,46,SO21_46-02,2021-09-02T08:51:55,85.8485,-38.41966667,13,700.2,691.4843176,0.3093,1,0.278402995,1,0.27861424,1,34.87472725,1,35.0419005,1,1031.295369,1,6.856244547,299.5806746,1,,9,0.00967522,1,0.00000004151,0.0000001845,0.0003775,0.00000009171,0.00000001383,4.4E-10,0.0000000012,0.00000097,6.9E-10,9.7E-11,2.3,2.1,-1.5,-2.6,-4,1.1,0.7,0.3,0.7,0.7,1.057,0.021,27.9925871941023
61,57,46,SO21_46-02,2021-09-02T08:51:55,85.8485,-38.41966667,15,500.3,494.3120733,0.74825,1,0.725210987,1,0.724927557,1,34.86986224,1,35.03682145,1,1030.319243,1,6.848351285,296.1252983,1,,9,0.00972044,1,0.00000004042,0.0000001795,0.0003707,0.00000009051,0.00000001364,4.3E-10,0.0000000012,0.00000095,9.1E-10,9.4E-11,-0.2,-0.1,-2.1,-2.5,-3.7,1.1,0.7,0.3,1,0.7,1.048,0.013,27.9613930384348
62,56,46,SO21_46-02,2021-09-02T08:51:55,85.8485,-38.41966667,17,300,296.5428446,0.90465,1,0.89098285,1,0.890756042,1,34.82599779,1,34.99301906,1,1029.332152,1,6.78048639,292.2491251,1,,9,0.0102607,1,0.00000004177,0.0000001792,0.0003724,0.00000008933,0.00000001353,3.1E-10,0.0000000025,0.0000033,8.5E-10,1.6E-10,3.2,-0.2,-1.3,-3.3,-3.9,0.8,1.4,0.9,0.9,1.1,0.997,0.015,27.9156105914308
63,55,46,SO21_46-02,2021-09-02T08:51:55,85.8485,-38.41966667,19,99.9,98.79327261,-1.4232,1,-1.425275557,1,-1.420514116,1,33.6358462,1,33.79860623,1,1027.549104,1,6.934490796,303.0648901,1,,9,0.02291992,1,0.00000004231,0.0000001903,0.0003974,0.0000001077,0.00000001598,0.0000000014,0.0000000016,0.0000029,0.0000000034,6E-10,2.6,2.6,-1.8,7.2,2.5,3.4,0.9,0.7,3.3,3.9,1.045,0.042,27.0677184936458
64,54,46,SO21_46-02,2021-09-02T08:51:55,85.8485,-38.41966667,21,30.1,29.77545464,-1.4673,1,-1.467667146,1,-1.45786646,1,30.06290492,1,30.20833527,1,1024.316453,1,8.886185632,390.2326776,1,,9,0.01630828,1,0.00000004514,0.0000002069,0.0004356,0.0000001082,0.00000001666,9.9E-10,0.0000000012,0.0000027,9.6E-10,1.3E-10,7.1,8.9,4.5,4.5,3.5,2.3,0.6,0.6,0.9,0.8,0.988,0.015,24.1709060306021
