Station,Depth,TaylorSWIF,TaylorSWIF err,TaylorSWIFT,TaylorSWIFT err,DWARF,DWARF err,QSDWARF,QSDWARF err
5,28,-0.02899689640670411,0.028968222168151547,-0.02541746556455249,0.018687215124447213,-0.02886464176798187,0.02836864102175617,-0.02887389223463588,0.028353824414897394
5,3910,0.006175844674605857,0.021992371825323057,0.009457133054929345,0.01450588793587377,0.005996532006850019,0.021674815472213227,0.006054781564552858,0.021820988071324543
8,29,0.03992001084413488,0.029157004906921125,0.02332424641044284,0.01883988226131651,0.04189862743855555,0.0322235252441534,0.04158159257606164,0.03198834601258666
8,99,0.01391800728227377,0.027080470097343125,-0.002723082841648017,0.01770506415213384,0.015794361728103112,0.029355039061763278,0.014557278161566822,0.029347220595558405
8,296,-0.029097570906624903,0.032501091604139803,-0.03379066080464488,0.02186824763825065,-0.02909804945065131,0.03399144437366509,-0.029395786109255306,0.033604366566758644
8,494,-0.022977499545701052,0.022271907570230898,-0.03183852592461789,0.013306914029029575,-0.02240479291858888,0.023539517115883354,-0.02276998151575682,0.0230456330471682
8,690,-0.0235877597263362,0.03711631559496892,-0.01589286874788709,0.027304309836174524,-0.023745325228556657,0.03600275637522872,-0.023446103641920346,0.036053032401281
8,988,0.0011067564174540578,0.03998087418460283,-0.011558237684038408,0.024871887777706943,0.002370646325005721,0.04373503605721792,0.0010779386918560174,0.04288636852154224
8,1479,-0.01245129653559407,0.028348747236791788,-0.025007638708605118,0.02026503682972425,-0.011191405016378164,0.029670378146186862,-0.011687765880520118,0.029632171573348767
8,1970,-0.023343654906476052,0.02889427200350418,-0.025925135018763368,0.01943799618416501,-0.023522616484281444,0.029446737104631537,-0.023456414393560054,0.029196345859726462
8,2459,-0.0056375299562223535,0.032676605566970676,-0.01180094760987771,0.021990215604404836,-0.0055347758078727605,0.034274221646991225,-0.005545761802000393,0.03407507898441669
5,98,0.014552587113344506,0.03005345845865585,0.006221130201814917,0.0192696170531695,0.014638102063925684,0.030724997873336872,0.014300852891073301,0.031408706806969305
8,2840,-0.004600808884248853,0.039222575775186896,-0.012190257209112376,0.02909306278346779,-0.004068883771092491,0.04282677663143096,-0.0044173932046704945,0.041973846996155965
8,2889,-0.007640956851530656,0.028630381885180117,-0.017936352984715076,0.018107140130807386,-0.00693296206988403,0.030250826324587664,-0.007433082315043249,0.029781068001075117
16,29,0.03629801457858739,0.03624369432222037,0.04517941276148196,0.024009300691897856,0.0361529770141118,0.0359561663520931,0.03651350725801383,0.03658311695327447
16,98,-0.009627097440167987,0.0941808110383047,-0.03597036669166631,0.05624055425079353,-0.005528323400761703,0.11245306510421689,-0.005868370648251187,0.10989327918003079
