Station,Depth,He,Ne,Ar,Kr,Xe,He err,Ne err,Ar err,Kr err,Xe err,He sat,Ne sat,Ar sat,Kr sat,Xe sat,He sat err,Ne sat err,Ar sat err,Kr sat err,Xe sat err,He3/He4,He3/He4 err,T,S,p,Sample_idx,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err,chi2,chi2_reduced
5,3910.299467,4.3399433641e-08,1.8956087719e-07,0.00039026148057,9.583015223e-08,1.459825527e-08,2.2387727218e-10,8.8941647892e-10,1.0034123579e-06,8.0904769433e-10,1.0281919791e-10,6.3361887448,3.6037377528,-1.2420458916,-1.9769136825,-3.3656863981,0.54853839955,0.48610701216,0.25391937593,0.82756157776,0.68061987076,1.0199649134,0.014589005667,-0.916494397,34.94135377,1.0,10.0,4.334379603630114e-08,1.8989217603994369e-07,0.0003900941671006,9.546615966277437e-08,1.4649036763019936e-08,3.4195734256439883e-10,1.1878688932543942e-09,4.5054757873735464e-06,1.3172567165694451e-09,2.1612127237041255e-10,0.6746546911230513,0.33732734556152566
8,29.75149432,4.0882397598e-08,1.8860749483e-07,0.0004144304251,1.0424101283e-07,1.5849944569e-08,2.8001643712e-10,1.1396134379e-09,1.305459496e-06,1.1964917588e-09,1.4143500867e-10,-1.1122569798,1.2519873406,1.5780922412,2.803958199,0.50813048697,0.67731334517,0.61178971434,0.31997188689,1.1799970609,0.89687179946,0.98498567145,0.014347331977,-1.675421696,33.47240735,1.0,11.0,4.087799190701024e-08,1.8855187917797376e-07,0.0004147672740675,1.0316959531835814e-07,1.5863414892791938e-08,4.2782546560740014e-10,1.5927304757693883e-09,6.587921333400057e-06,1.961667006503976e-09,3.202974479368912e-10,0.8801390019282794,0.4400695009641397
8,99.10104584,4.1232245398e-08,1.8822753514e-07,0.00039340406201,9.8230300474e-08,1.4700386137e-08,2.8209967841e-10,1.119186976e-09,1.23499930693e-06,1.0509182467e-09,1.2474997865e-10,-1.0459699286,2.167725901,-1.6815727963,1.6629971472,-1.7692138651,3.3044190727,0.86228593508,0.70983797389,3.066442483,3.6507599128,1.0606642918,0.041600821255,-0.895010633,34.39143464,1.0,12.0,4.132146237389767e-08,1.8753626737953146e-07,0.0003943858096372,9.67957293923337e-08,1.4653647043268152e-08,4.104624913945906e-10,1.494942499563073e-09,5.9406067437123e-06,1.7458506163237802e-09,2.792070930044076e-10,3.1172129521773035,1.5586064760886518
8,296.7392011,4.1144941814e-08,1.7773519106e-07,0.00036826123874,8.7197099589e-08,1.3172471899e-08,3.0902521859e-10,1.5114643001e-09,1.3424655277e-06,9.1842088811e-10,1.3726494726e-10,1.7666529382,-0.79331856995,-1.8970619623,-5.0050376477,-5.7620717219,0.76433361631,0.84365598296,0.35762605083,1.000553437,0.98201494406,1.067086538,0.027189811527,1.072497138,34.86418486,1.0,13.0,4.09160970043412e-08,1.8031118918798809e-07,0.0003661867705813,8.868912106435192e-08,1.3326458720315371e-08,5.109828517103891e-10,1.7906634960171431e-09,6.631087480440414e-06,1.924374302918047e-09,3.0756119496084015e-10,9.738557123611693,4.869278561805847
8,494.506771,4.0490283915e-08,1.8063556459e-07,0.00037212795151,9.047502759e-08,1.3614672023e-08,2.1264577182e-10,5.9928731955e-10,9.5249787992e-07,8.0703720008e-10,1.548624835e-10,-0.053841749453,0.36531395775,-1.9844679049,-2.8001290561,-4.258681223,0.5248945156,0.3329779499,0.25088033872,0.86702279937,1.0890264836,1.0311598051,0.019679047833,0.624922709,34.88677707,1.0,14.0,4.049363149035153e-08,1.806258803946202e-07,0.0003721367314753,9.050022225529187e-08,1.3607088221578934e-08,3.0049637872640645e-10,1.0898309897721943e-09,4.621716788162622e-06,1.3504974994780388e-09,2.1736595435183044e-10,0.003966711232193545,0.0019833556160967726
8,690.786058,4.232438377e-08,1.8295561449e-07,0.00037583890158,9.2449545926e-08,1.3958479963e-08,2.5954561416e-10,2.5135064402e-09,9.6674304572e-07,9.7413942569e-10,1.4628958944e-10,4.245829045,1.1667795519,-2.1590762351,-2.094906252,-3.5603641244,0.63926619393,1.3898636161,0.25166908545,1.0316244481,1.0107199907,0.9829977361,0.038642779223,0.172165458,34.89263696,1.0,15.0,4.2294695602007916e-08,1.836950414697823e-07,0.0003759395244413,9.1613857796567e-08,1.401215380393764e-08,6.118093399470921e-10,2.1128742140171132e-09,7.331820845240785e-06,2.1349976692458523e-09,3.520992272962787e-10,0.9810232883788972,0.4905116441894486
8,988.1447356,4.1555967978e-08,1.8594942258e-07,0.00038243615759,9.1413406773e-08,1.4028944368e-08,4.3656053628e-10,1.233754896e-09,1.3891397578e-06,1.6225357251e-09,2.2505519074e-10,1.8351618603,2.4011515877,-1.4280787286,-1.2295617635,-4.519407611,0.52453252344,0.67942088971,0.35804714624,1.2644708448,1.5317191635,1.0282866721,0.024325931416,-0.210829668,34.90146011,1.0,16.0,4.154618304956408e-08,1.860590241818827e-07,0.0003820764736226,9.308965161055453e-08,1.401309150414078e-08,5.715524204354859e-10,2.072076324792938e-09,8.629199796223128e-06,2.522879586901483e-09,4.042176627717754e-10,1.147698122312408,0.573849061156204
8,1479.814036,4.0532383962e-08,1.8226074831e-07,0.00038629196449,9.5101791965e-08,1.4308359102e-08,4.1158850133e-10,1.604559083e-09,7.6738277244e-07,8.3881421905e-10,1.0345814036e-10,-0.52474606129,-0.012714534097,-1.3508311236,-1.6282323149,-3.9678468534,1.0101273768,0.88025265214,0.19597009431,0.86765596928,0.69437088545,1.0585680987,0.014988548357,-0.565184932,34.91411563,1.0,17.0,4.0402234837531324e-08,1.8294079947271681e-07,0.0003862577317597,9.474355212891633e-08,1.4341914117295198e-08,4.4981822928660685e-10,1.620694016484232e-09,5.9862295838183344e-06,1.7554233780271555e-09,2.8049147911122747e-10,0.5691960139290988,0.2845980069645494
8,1970.417214,4.11404032e-08,1.8285498346e-07,0.00038652882567,9.5455663448e-08,1.4504140175e-08,4.2901385872e-10,1.209662601e-09,1.3948975508e-06,8.3641478551e-10,1.0248932669e-10,0.87284994231,0.10631345197,-1.7802428119,-1.8612391177,-3.3814221091,1.0519063312,0.66224535537,0.35445350938,0.85992499207,0.6827273368,1.0386255841,0.014563644387,-0.75448101,34.9199713,1.0,18.0,4.1044874983970554e-08,1.8308290091881537e-07,0.0003866231250854,9.497541820931221e-08,1.4529716480187614e-08,4.4127129196833047e-10,1.5281034435092703e-09,6.057748365539188e-06,1.7751830514527695e-09,2.844141727113403e-10,0.48159982917897065,0.24079991458948533
8,2459.812922,4.1695235192e-08,1.8462310211e-07,0.00039054475477,9.5331162029e-08,1.4507098296e-08,3.0127083807e-10,1.6170649113e-09,1.7422463965e-06,1.128947732e-09,1.3728642601e-10,2.1773645654,0.95190926073,-1.0492861578,-2.3388714574,-3.7867764503,0.73828724344,0.88421106749,0.44142578415,1.156540078,0.91050390137,1.056490703,0.01771030518,-0.865679692,34.92471731,1.0,19.0,4.1594233999683326e-08,1.8584548627258775e-07,0.0003894803850775,9.557366760463193e-08,1.4582094033725827e-08,5.269923359198298e-10,1.8642997596559003e-09,6.985003569587139e-06,2.047199886943534e-09,3.308243061018206e-10,1.4015954707060287,0.7007977353530144
8,2840.567937,4.2575608124e-08,1.8375974472e-07,0.00039106642532,9.6220064335e-08,1.4526157015e-08,9.4205988035e-10,1.550519296e-09,1.2424167618e-06,1.2191624466e-09,1.2745785928e-10,4.3198880109,0.44442266282,-1.0049112435,-1.5358901956,-3.7908433037,2.3082601881,0.8475252061,0.31450707513,1.2475957674,0.84417462531,1.0689768882,0.017065689359,-0.900903904,34.93139118,1.0,20.0,4.120213544367794e-08,1.852205611203649e-07,0.0003905188022932,9.5938541790454e-08,1.46196227395094e-08,6.042868657778124e-10,2.1193754677987244e-09,8.602614690938107e-06,2.5240880318514993e-09,4.0159058842059126e-10,3.798588307976394,1.899294153988197
